comuna_name,locode,main_biome,all_biomes
Concepción,CL CCP,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Conchalí,,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Concón,CL CON,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Constitución,CL CST,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Contulmo,CL CTM,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Copiapó,CL CPO,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
Coquimbo,CL CQQ,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Coronel,CL CNL,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Corral,CL CRR,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Coyhaique,CL CXQ,Temperate Broadleaf & Mixed Forests,"['Temperate Broadleaf & Mixed Forests', 'Temperate Grasslands, Savannas & Shrublands']"
Cunco,CL CUN,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Curacautín,CL CCN,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Curacaví,CL CRV,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Curaco de Vélez,CL CDV,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Curanilahue,CL CRN,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Curarrehue,CL CRE,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Curepto,CL CRT,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Curicó,CL CUR,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands', 'Temperate Broadleaf & Mixed Forests']"
Dalcahue,CL DCH,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Diego de Almagro,CL DDA,Montane Grasslands & Shrublands,"['Deserts & Xeric Shrublands', 'Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
Doñihue,CL DOH,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
El Bosque,,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
El Carmen,CL ELC,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
El Monte,CL ELM,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
El Quisco,CL ELQ,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
El Tabo,CL ELT,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Empedrado,CL EMP,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Ercilla,CL ERC,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Estación Central,,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Florida,CL FLO,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Freire,CL FRE,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Freirina,CL FRN,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Fresia,CL FRS,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Frutillar,CL FRT,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Futaleufú,CL FFU,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Futrono,CL FUT,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Galvarino,CL GAL,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
General Lagos,CL GLG,Montane Grasslands & Shrublands,['Montane Grasslands & Shrublands']
Gorbea,CL GOR,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Graneros,CL GRA,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Guaitecas,,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Hijuelas,CL HIJ,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Hualaihué,,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Hualañé,CL HLE,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Hualpén,CL HPN,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Hualqui,CL HQI,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Huara,CL HUA,Deserts & Xeric Shrublands,"['Deserts & Xeric Shrublands', 'Montane Grasslands & Shrublands']"
Huasco,,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Huechuraba,CL HUE,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Illapel,CL ILL,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
Independencia,CL IND,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Iquique,CL IQQ,Deserts & Xeric Shrublands,['Deserts & Xeric Shrublands']
Isla de Maipo,CL IDM,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
La Cisterna,CL LCI,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
La Cruz,CL LCZ,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
La Estrella,CL LES,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
La Florida,CL LFL,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
La Granja,,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
La Higuera,,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
La Ligua,CL LIG,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
La Pintana,,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
La Reina,CL REI,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
La Serena,CL LSC,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
La Unión,CL LUN,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Lago Ranco,CL RNC,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Lago Verde,CL LVD,Temperate Broadleaf & Mixed Forests,"['Temperate Broadleaf & Mixed Forests', 'Temperate Grasslands, Savannas & Shrublands']"
Laguna Blanca,,Temperate Broadleaf & Mixed Forests,"['Temperate Broadleaf & Mixed Forests', 'Temperate Grasslands, Savannas & Shrublands']"
Laja,CL LAJ,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Lampa,CL LAM,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Lanco,CL LAN,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Las Cabras,CL LCB,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Las Condes,,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Lautaro,CL LAU,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Lebu,CL LEB,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Licantén,CL LIC,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Limache,CL LIM,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Linares,CL LIN,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Litueche,,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Llaillay,CL LLA,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Llanquihue,CL LIA,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Lo Barnechea,CL LBA,Temperate Broadleaf & Mixed Forests,"['Montane Grasslands & Shrublands', 'Temperate Broadleaf & Mixed Forests']"
Lo Espejo,CL LEJ,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Lo Prado,CL LPR,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
