Entidad,Nombre variable,Descripción de la variable,Valor,Etiqueta de categoría,Rango,Universo,Conteo,
Hogar,p12_tenencia_viv,12. La vivienda que ocupa este hogar es: ,7,Usufructo: solo uso y goce,"1:9; 
-99 (no respuesta), NA (no aplica)",Todos los hogares,"61,019",
Hogar,p12_tenencia_viv,12. La vivienda que ocupa este hogar es: ,8,Ocupada de hecho,"1:9; 
-99 (no respuesta), NA (no aplica)",Todos los hogares,"57,788",
Hogar,p12_tenencia_viv,12. La vivienda que ocupa este hogar es: ,9,Propiedad en sucesión o litigio,"1:9; 
-99 (no respuesta), NA (no aplica)",Todos los hogares,"116,125",
Hogar,p12_tenencia_viv,12. La vivienda que ocupa este hogar es: ,-99,No respuesta,"1:9; 
-99 (no respuesta), NA (no aplica)",Todos los hogares,"1,096",
Hogar,p12_tenencia_viv,12. La vivienda que ocupa este hogar es: ,NA,No aplica,"1:9; 
-99 (no respuesta), NA (no aplica)",Todos los hogares,"26,070",
Hogar,p13_comb_cocina,13. ¿Cuál es la principal fuente de energía o combustible que utilizan para cocinar? ,1,Gas,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"5,780,274",
Hogar,p13_comb_cocina,13. ¿Cuál es la principal fuente de energía o combustible que utilizan para cocinar? ,2,Parafina o petróleo,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"3,832",
Hogar,p13_comb_cocina,13. ¿Cuál es la principal fuente de energía o combustible que utilizan para cocinar? ,3,Leña,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"339,220",
Hogar,p13_comb_cocina,13. ¿Cuál es la principal fuente de energía o combustible que utilizan para cocinar? ,4,Pellet,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"1,960",
Hogar,p13_comb_cocina,13. ¿Cuál es la principal fuente de energía o combustible que utilizan para cocinar? ,5,Carbón,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"1,520",
Hogar,p13_comb_cocina,13. ¿Cuál es la principal fuente de energía o combustible que utilizan para cocinar? ,6,Electricidad,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"439,520",
Hogar,p13_comb_cocina,13. ¿Cuál es la principal fuente de energía o combustible que utilizan para cocinar? ,7,Energía solar (ej. cocina u horno solar),"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,639,
Hogar,p13_comb_cocina,13. ¿Cuál es la principal fuente de energía o combustible que utilizan para cocinar? ,8,No utiliza fuente de energía o combustible para cocinar,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"28,860",
Hogar,p13_comb_cocina,13. ¿Cuál es la principal fuente de energía o combustible que utilizan para cocinar? ,-99,No respuesta,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,702,
Hogar,p13_comb_cocina,13. ¿Cuál es la principal fuente de energía o combustible que utilizan para cocinar? ,NA,No aplica,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"26,070",
Hogar,p14_comb_calefaccion,14. ¿Cuál es la principal fuente de energía o combustible que utilizan para calefaccionar? ,1,Gas,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"1,688,313",
Hogar,p14_comb_calefaccion,14. ¿Cuál es la principal fuente de energía o combustible que utilizan para calefaccionar? ,2,Parafina o petróleo,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"680,755",
Hogar,p14_comb_calefaccion,14. ¿Cuál es la principal fuente de energía o combustible que utilizan para calefaccionar? ,3,Leña,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"1,606,997",
Hogar,p14_comb_calefaccion,14. ¿Cuál es la principal fuente de energía o combustible que utilizan para calefaccionar? ,4,Pellet,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"137,853",
Hogar,p14_comb_calefaccion,14. ¿Cuál es la principal fuente de energía o combustible que utilizan para calefaccionar? ,5,Carbón,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"13,426",
Hogar,p14_comb_calefaccion,14. ¿Cuál es la principal fuente de energía o combustible que utilizan para calefaccionar? ,6,Electricidad,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"1,283,687",
Hogar,p14_comb_calefaccion,14. ¿Cuál es la principal fuente de energía o combustible que utilizan para calefaccionar? ,7,Otra,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"24,691",
Hogar,p14_comb_calefaccion,14. ¿Cuál es la principal fuente de energía o combustible que utilizan para calefaccionar? ,8,No utiliza fuente de energía o combustible para calefaccionar,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"1,159,827",
Hogar,p14_comb_calefaccion,14. ¿Cuál es la principal fuente de energía o combustible que utilizan para calefaccionar? ,-99,No respuesta,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,978,
Hogar,p14_comb_calefaccion,14. ¿Cuál es la principal fuente de energía o combustible que utilizan para calefaccionar? ,NA,No aplica,"1:8; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"26,070",
Hogar,p15a_serv_tel_movil,"15. Este hogar, ¿dispone de teléfono móvil, celular o smartphone? ",1,Sí,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"6,475,071",
Hogar,p15a_serv_tel_movil,"15. Este hogar, ¿dispone de teléfono móvil, celular o smartphone? ",2,No,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"119,949",
Hogar,p15a_serv_tel_movil,"15. Este hogar, ¿dispone de teléfono móvil, celular o smartphone? ",-99,No respuesta,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"1,507",
Hogar,p15a_serv_tel_movil,"15. Este hogar, ¿dispone de teléfono móvil, celular o smartphone? ",NA,No aplica,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"26,070",
Hogar,p15b_serv_compu,"15. Este hogar, ¿dispone de computador (escritorio o portátil)? ",1,Sí,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"3,621,619",
Hogar,p15b_serv_compu,"15. Este hogar, ¿dispone de computador (escritorio o portátil)? ",2,No,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"2,964,123",
Hogar,p15b_serv_compu,"15. Este hogar, ¿dispone de computador (escritorio o portátil)? ",-99,No respuesta,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"10,785",
Hogar,p15b_serv_compu,"15. Este hogar, ¿dispone de computador (escritorio o portátil)? ",NA,No aplica,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"26,070",
Hogar,p15c_serv_tablet,"15. Este hogar, ¿dispone de tablet? ",1,Sí,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"1,645,321",
Hogar,p15c_serv_tablet,"15. Este hogar, ¿dispone de tablet? ",2,No,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"4,939,222",
Hogar,p15c_serv_tablet,"15. Este hogar, ¿dispone de tablet? ",-99,No respuesta,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"11,984",
