Entidad,Nombre variable,Descripción de la variable,Valor,Etiqueta de categoría,Rango,Universo,Conteo,
Vivienda,id_vivienda,Llave identificadora de la vivienda o de la entrevista,1:7664466,Válidos,1:7664466,Todos los registros,"7,664,466",
Vivienda,region,Región,1:16,Ver diccionario códigos territoriales,1:16,Todos los registros,"7,664,466",
Vivienda,provincia,Provincia,11:163,Ver diccionario códigos territoriales,11:163,Todos los registros,"7,664,466",
Vivienda,comuna,Comuna,1101:16305,Ver diccionario códigos territoriales,1101:16305,Todos los registros,"7,664,466",
Vivienda,area,Área urbana o rural,1,Urbano,1:2,Todos los registros,"6,365,998",
Vivienda,area,Área urbana o rural,2,Rural,1:2,Todos los registros,"1,298,468",
Vivienda,tipo_operativo,Tipo de operativo ,1,Persona en situación de calle,1:3,Todos los registros,"21,750",
Vivienda,tipo_operativo,Tipo de operativo,2,Vivienda particular,1:3,Todos los registros,"7,638,396",
Vivienda,tipo_operativo,Tipo de operativo,3,Vivienda colectiva,1:3,Todos los registros,"4,320",
Vivienda,p2_tipo_vivienda,2. Tipo de vivienda particular ,1,Casa,1:9; NA (no aplica),Todas las viviendas particulares,"5,937,284",
Vivienda,p2_tipo_vivienda,2. Tipo de vivienda particular ,3,Departamento,1:9; NA (no aplica),Todas las viviendas particulares,"1,579,970",
Vivienda,p2_tipo_vivienda,2. Tipo de vivienda particular ,5,Vivienda tradicional indígena (ruka u otras),1:9; NA (no aplica),Todas las viviendas particulares,"1,967",
Vivienda,p2_tipo_vivienda,2. Tipo de vivienda particular ,6,Pieza en casa antigua o en conventillo,1:9; NA (no aplica),Todas las viviendas particulares,"51,305",
Vivienda,p2_tipo_vivienda,2. Tipo de vivienda particular ,7,"Mediagua, mejora, vivienda de emergencia, rancho o choza",1:9; NA (no aplica),Todas las viviendas particulares,"27,490",
Vivienda,p2_tipo_vivienda,2. Tipo de vivienda particular ,8,"Móvil (carpa, casa rodante o similar)",1:9; NA (no aplica),Todas las viviendas particulares,"1,557",
Vivienda,p2_tipo_vivienda,2. Tipo de vivienda particular ,9,Otro tipo de vivienda particular,1:9; NA (no aplica),Todas las viviendas particulares,"38,823",
Vivienda,p2_tipo_vivienda,2. Tipo de vivienda particular ,NA,No aplica,1:9; NA (no aplica),Todas las viviendas particulares,"26,070",
Vivienda,p3a_estado_ocupacion,3a. Estado de ocupación de la vivienda ,1,Ocupada,1:2; NA (no aplica),Todas las viviendas particulares,"6,730,463",
Vivienda,p3a_estado_ocupacion,3a. Estado de ocupación de la vivienda ,2,Desocupada,1:2; NA (no aplica),Todas las viviendas particulares,"907,933",
Vivienda,p3a_estado_ocupacion,3a. Estado de ocupación de la vivienda ,NA,No aplica,1:2; NA (no aplica),Todas las viviendas particulares,"26,070",
Vivienda,p3b_estado_ocupacion,3b. Estado de ocupación de la vivienda (detalle),1,Moradores presentes,1:10; NA (no aplica),Todas las viviendas particulares,"6,408,172",
Vivienda,p3b_estado_ocupacion,3b. Estado de ocupación de la vivienda (detalle),2,Moradores ausentes,1:10; NA (no aplica),Todas las viviendas particulares,"208,084",
Vivienda,p3b_estado_ocupacion,3b. Estado de ocupación de la vivienda (detalle),6,Otras razones de no entrevista,1:10; NA (no aplica),Todas las viviendas particulares,"114,207",
Vivienda,p3b_estado_ocupacion,3b. Estado de ocupación de la vivienda (detalle),7,En venta o arriendo,1:10; NA (no aplica),Todas las viviendas particulares,"173,315",
Vivienda,p3b_estado_ocupacion,3b. Estado de ocupación de la vivienda (detalle),8,Vivienda de temporada (veraneo o de uso temporal),1:10; NA (no aplica),Todas las viviendas particulares,"476,135",
Vivienda,p3b_estado_ocupacion,3b. Estado de ocupación de la vivienda (detalle),9,Abandonada,1:10; NA (no aplica),Todas las viviendas particulares,"97,052",
